Squad,# Pl,Age,MP,Starts,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,Gls,Ast,G+A,G-PK,G+A-PK,year
dk Aalborg,16,26.3,10,62,7,5,12,7,0,0,8,0.7,0.5,1.2,0.7,1.2,2008-2009
cy Anorthosis,20,29.9,12,64,7,3,10,7,0,0,10,0.58,0.25,0.83,0.58,0.83,2008-2009
eng Arsenal,24,23.9,14,132,17,12,29,13,4,4,20,1.21,0.86,2.07,0.93,1.79,2008-2009
es Atlético Madrid,22,27.0,10,88,11,8,19,11,0,0,17,1.1,0.8,1.9,1.1,1.9,2008-2009
es Barcelona,23,25.9,15,144,31,27,58,29,2,2,22,2.07,1.8,3.87,1.93,3.73,2008-2009
ch Basel,21,25.7,10,65,2,2,4,2,0,0,7,0.2,0.2,0.4,0.2,0.4,2008-2009
by BATE Borisov,19,24.7,12,68,3,2,5,3,0,0,14,0.25,0.17,0.42,0.25,0.42,2008-2009
de Bayern Munich,22,28.0,10,110,24,14,38,22,2,2,17,2.4,1.4,3.8,2.2,3.6,2008-2009
fr Bordeaux,17,27.2,6,57,4,3,7,4,0,0,14,0.67,0.5,1.17,0.67,1.17,2008-2009
sct Celtic,19,26.3,6,65,4,4,8,4,0,1,8,0.67,0.67,1.33,0.67,1.33,2008-2009
ro CFR Cluj,18,26.6,6,66,5,2,7,5,0,0,16,0.83,0.33,1.17,0.83,1.17,2008-2009
eng Chelsea,21,27.5,12,129,20,16,36,20,0,0,30,1.67,1.33,3.0,1.67,3.0,2008-2009
ua Dynamo Kyiv,19,24.8,10,66,4,2,6,3,1,1,16,0.4,0.2,0.6,0.3,0.5,2008-2009
tr Fenerbahçe,20,27.8,10,66,3,0,3,3,0,0,17,0.3,0.0,0.3,0.3,0.3,2008-2009
it Fiorentina,19,26.7,8,66,5,5,10,5,0,0,13,0.62,0.62,1.25,0.62,1.25,2008-2009
it Inter,23,28.4,8,87,7,7,14,7,0,0,11,0.87,0.87,1.75,0.87,1.75,2008-2009
it Juventus,25,28.7,10,88,9,6,15,8,1,2,19,0.9,0.6,1.5,0.8,1.4,2008-2009
eng Liverpool,22,26.1,12,112,20,14,34,16,4,4,17,1.67,1.17,2.83,1.33,2.5,2008-2009
fr Lyon,22,26.3,8,88,16,11,27,16,0,0,22,2.0,1.37,3.38,2.0,3.38,2008-2009
eng Manchester Utd,24,26.9,13,143,18,12,30,18,0,0,14,1.38,0.92,2.31,1.38,2.31,2008-2009
fr Marseille,18,25.9,8,66,5,5,10,5,0,0,6,0.62,0.62,1.25,0.62,1.25,2008-2009
gr Panathinaikos,22,27.6,12,88,10,4,14,9,1,1,15,0.83,0.33,1.17,0.75,1.08,2008-2009
pt Porto,22,25.0,10,109,12,9,21,12,0,0,16,1.2,0.9,2.1,1.2,2.1,2008-2009
nl PSV Eindhoven,19,26.4,6,63,5,4,9,5,0,0,13,0.83,0.67,1.5,0.83,1.5,2008-2009
es Real Madrid,25,26.6,8,88,8,5,13,8,0,0,11,1.0,0.62,1.62,1.0,1.62,2008-2009
it Roma,23,28.2,8,90,13,10,23,13,0,0,16,1.62,1.25,2.87,1.62,2.87,2008-2009
ua Shakhtar,22,24.8,8,66,11,9,20,11,0,0,19,1.37,1.13,2.5,1.37,2.5,2008-2009
pt Sporting CP,21,26.2,8,88,9,5,14,9,0,0,13,1.13,0.62,1.75,1.13,1.75,2008-2009
